,Unnamed: 0,ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509,corr_round,fh_status
7,7,Argentina,2.0,8.0,48.8,39.76,0,1,0,0,0,0,-0.420792604806339,-0.42,Free
10,10,Australia,1.0,10.0,35.2,29.65,0,0,0,0,0,0,1.97929304224882,1.98,Free
11,11,Austria,1.0,10.0,29.1,26.64,0,0,0,0,0,0,1.90384092809486,1.9,Free
18,18,Belgium,1.0,8.0,33.0,36.2,0,0,0,0,0,0,1.32983978910366,1.33,Free
20,20,Benin,2.0,7.0,38.6,10.84,0,0,0,0,0,1,-0.60802770097789,-0.61,Free
25,25,Botswana,2.5,8.0,61.0,11.11,0,0,0,0,0,1,0.947725044959508,0.95,Free
26,26,Brazil,2.0,8.0,55.0,9.43,0,1,0,0,0,0,-0.119536146168395,-0.12,Free
28,28,Bulgaria,2.0,9.0,29.2,21.67,0,0,0,0,1,0,-0.0693627001462635,-0.07,Free
33,33,Canada,1.0,10.0,32.6,24.94,0,0,0,0,0,0,1.9425386763598,1.94,Free
39,39,Chile,1.0,10.0,52.0,12.66,0,1,0,0,0,0,1.37052415615982,1.37,Free
45,45,Costa Rica,1.0,10.0,48.9,36.84,0,1,0,0,0,0,0.483972844799745,0.48,Free
47,47,Croatia,1.5,9.0,29.0,20.92,0,0,0,0,1,0,0.120586549241863,0.12,Free
50,50,Czech Republic,1.0,8.0,25.8,16.01,0,0,0,0,1,0,0.422967221441479,0.42,Free
51,51,Denmark,1.0,10.0,24.7,37.99,0,0,0,0,0,0,2.37832399823762,2.38,Free
54,54,Dominican Republic,2.0,8.0,48.4,17.14,0,1,0,0,0,0,-0.618924194031764,-0.62,Free
57,57,El Salvador,2.5,8.0,46.9,16.67,0,1,0,0,0,0,-0.288100008655349,-0.29,Free
60,60,Estonia,1.0,9.0,36.0,20.79,0,0,0,0,0,0,0.975601676905677,0.98,Free
64,64,Finland,1.0,10.0,26.9,41.5,0,0,0,0,0,0,2.33507215266569,2.34,Free
65,65,France,1.0,9.0,32.7,19.57,0,0,0,0,0,0,1.41647265610532,1.42,Free
70,70,Germany,1.0,10.0,28.3,31.13,0,0,0,0,0,0,1.7450199359286,1.75,Free
71,71,Ghana,1.5,8.0,42.8,7.89,0,0,0,0,0,1,-0.0312243821673234,-0.03,Free
73,73,Greece,1.5,10.0,34.3,14.67,0,0,0,0,0,0,0.297696620286781,0.3,Free
80,80,Guyana,2.5,6.0,43.2,30.0,0,0,1,0,0,0,-0.58131273572866,-0.58,Free
84,84,Hungary,1.0,10.0,30.0,11.14,0,0,0,0,1,0,0.575809064567707,0.58,Free
86,86,India,2.5,9.0,36.8,9.18,0,0,0,0,0,0,-0.336544078203674,-0.34,Free
87,87,Indonesia,2.5,8.0,37.6,11.64,0,0,0,1,0,0,-0.704519160316826,-0.7,Free
90,90,Ireland,1.0,10.0,34.3,15.49,0,0,0,0,0,0,1.6890746126857,1.69,Free
92,92,Israel,1.5,10.0,39.2,14.17,1,0,0,0,0,0,0.885728613397935,0.89,Free
93,93,Italy,1.5,10.0,36.0,20.17,0,0,0,0,0,0,0.238881472311902,0.24,Free
94,94,Jamaica,2.5,9.0,45.5,13.58,0,0,1,0,0,0,-0.40601304633378,-0.41,Free
95,95,Japan,1.5,10.0,24.9,12.33,0,0,0,0,0,0,1.28955340570654,1.29,Free
101,101,"Korea, Rep.",1.5,8.0,31.6,13.71,0,0,0,1,0,0,0.532592110829053,0.53,Free
106,106,Latvia,1.5,8.0,36.3,20.0,0,0,0,0,0,0,0.335019285751922,0.34,Free
112,112,Lithuania,1.0,10.0,35.8,17.73,0,0,0,0,0,0,0.197262021299463,0.2,Free
120,120,Mali,2.5,7.0,39.0,10.2,0,0,0,0,0,1,-0.469028822567703,-0.47,Free
126,126,Mexico,2.5,8.0,51.6,22.13,0,1,0,0,0,0,-0.245729212396213,-0.25,Free
130,130,Mongolia,2.0,10.0,36.6,4.17,0,0,0,1,0,0,-0.618422636002965,-0.62,Free
135,135,Namibia,2.0,6.0,74.3,26.92,0,0,0,0,0,1,0.28401211909007,0.28,Free
137,137,Netherlands,1.0,10.0,30.9,39.11,0,0,0,0,0,0,2.06141369546635,2.06,Free
140,140,New Zealand,1.0,10.0,36.2,33.61,0,0,0,0,0,0,2.27871883291067,2.28,Free
145,145,Norway,1.0,10.0,25.8,36.09,0,0,0,0,0,0,1.9467249373695,1.95,Free
149,149,Panama,1.5,9.0,54.9,16.67,0,1,0,0,0,0,-0.311231456008425,-0.31,Free
152,152,Peru,2.5,9.0,50.5,29.17,0,1,0,0,0,0,-0.310562360563652,-0.31,Free
154,154,Poland,1.0,10.0,34.9,18.04,0,0,0,0,1,0,0.35084743630862,0.35,Free
155,155,Portugal,1.0,10.0,38.5,28.26,0,0,0,0,0,0,1.03632638663889,1.04,Free
158,158,Romania,2.0,9.0,32.1,9.77,0,0,0,0,1,0,-0.101114462758247,-0.1,Free
170,170,Slovak Republic,1.0,10.0,25.8,19.33,0,0,0,0,1,0,0.435218744100823,0.44,Free
171,171,Slovenia,1.0,10.0,31.2,10.0,0,0,0,0,1,0,1.01059983926299,1.01,Free
174,174,South Africa,2.0,9.0,57.8,33.92,0,0,0,0,0,1,0.332959829876555,0.33,Free
175,175,Spain,1.0,10.0,34.7,33.61,0,0,0,0,0,0,1.10179026726658,1.1,Free
183,183,Sweden,1.0,10.0,25.0,46.99,0,0,0,0,0,0,2.14710767811866,2.15,Free
184,184,Switzerland,1.0,10.0,33.7,27.24,0,0,0,0,0,0,2.05866070078905,2.06,Free
192,192,Trinidad and Tobago,2.0,10.0,40.3,33.33,0,0,1,0,0,0,-0.108312323940113,-0.11,Free
199,199,Ukraine,2.5,7.0,27.6,8.22,0,0,0,0,0,0,-0.722976015785938,-0.72,Free
201,201,United Kingdom,1.0,10.0,36.0,19.61,0,0,0,0,0,0,1.71413684400448,1.71,Free
202,202,United States,1.0,10.0,40.8,17.01,0,0,0,0,0,0,1.33810603325913,1.34,Free
203,203,Uruguay,1.0,10.0,47.1,12.31,0,1,0,0,0,0,1.11251414806231,1.11,Free
