,Unnamed: 0,ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509,corr_round,fh_status
2,2,Algeria,5.5,2.0,35.3,6.48,1,0,0,0,0,0,-0.434653889660585,-0.43,Not Free
5,5,Angola,5.5,-2.0,58.6,37.27,0,0,0,0,0,0,-1.29268423917956,-1.29,Not Free
12,12,Azerbaijan,5.5,-7.0,16.8,11.38,0,0,0,0,0,0,-1.02676724117019,-1.03,Not Free
17,17,Belarus,6.5,-7.0,28.8,32.53,0,0,0,0,0,0,-0.76558628966688,-0.77,Not Free
31,31,Cambodia,5.5,2.0,44.2,15.76,0,0,0,1,0,0,-1.15123347866929,-1.15,Not Free
32,32,Cameroon,6.0,-4.0,44.6,13.89,0,0,0,0,0,1,-1.00036172716248,-1.0,Not Free
37,37,Chad,6.5,-2.0,39.8,5.16,0,0,0,0,0,1,-1.34688028178994,-1.35,Not Free
40,40,China,6.5,-7.0,41.5,21.33,0,0,0,1,0,0,-0.568752346006251,-0.57,Not Free
43,43,"Congo, Dem. Rep.",6.0,5.0,44.4,7.73,0,0,0,0,0,1,-1.42807369539018,-1.43,Not Free
44,44,"Congo, Rep.",5.5,-4.0,47.3,9.18,0,0,0,0,0,1,-1.11311783391179,-1.11,Not Free
46,46,Cote d'Ivoire,5.5,0.0,48.4,8.87,0,0,0,0,0,1,-1.19893336491311,-1.2,Not Free
56,56,"Egypt, Arab Rep.",5.5,-3.0,32.1,3.68,1,0,0,0,0,0,-0.579147171136404,-0.58,Not Free
67,67,Gabon,5.5,3.0,41.5,16.11,0,0,0,0,0,1,-0.856972967867437,-0.86,Not Free
88,88,"Iran, Islamic Rep.",6.0,-7.0,38.3,2.8,1,0,0,0,0,0,-0.60091725944491,-0.6,Not Free
89,89,Iraq,5.5,0.0,38.3,25.45,1,0,0,0,0,0,-1.46269721683617,-1.46,Not Free
96,96,Jordan,5.5,-3.0,37.7,8.48,1,0,0,0,0,0,0.349111855394246,0.35,Not Free
97,97,Kazakhstan,5.5,-6.0,30.9,12.34,0,0,0,0,0,0,-0.937653190163128,-0.94,Not Free
104,104,Kyrgyz Republic,5.5,1.0,33.5,25.56,0,0,0,0,0,0,-1.1748554476416,-1.17,Not Free
105,105,Lao PDR,6.5,-7.0,32.6,25.22,0,0,0,1,0,0,-1.2060545403137,-1.21,Not Free
123,123,Mauritania,5.5,-2.0,39.0,19.87,0,0,0,0,0,1,-0.53783125919205,-0.54,Not Free
157,157,Qatar,5.5,-10.0,41.1,0.0,1,0,0,0,0,0,1.14895376106147,1.15,Not Free
159,159,Russian Federation,5.5,4.0,43.7,11.47,0,0,0,0,0,0,-0.917828992213867,-0.92,Not Free
160,160,Rwanda,5.5,-3.0,46.7,50.94,0,0,0,0,0,1,-0.164223000498563,-0.16,Not Free
182,182,Swaziland,6.0,-9.0,50.7,22.11,0,0,0,0,0,1,-0.310528371310804,-0.31,Not Free
186,186,Tajikistan,5.5,-3.0,33.6,19.59,0,0,0,0,0,0,-1.00613513848042,-1.01,Not Free
193,193,Tunisia,6.0,-4.0,40.8,19.93,1,0,0,0,0,0,0.0054506075944962,0.01,Not Free
204,204,Uzbekistan,7.0,-9.0,36.7,16.36,0,0,0,0,0,0,-1.07177891166735,-1.07,Not Free
207,207,Vietnam,6.0,-7.0,37.8,25.76,0,0,0,1,0,0,-0.656128385635008,-0.66,Not Free
210,210,"Yemen, Rep.",5.5,-2.0,37.7,0.73,1,0,0,0,0,0,-0.808839779566311,-0.81,Not Free
212,212,Zimbabwe,6.0,1.0,50.1,18.15,0,0,0,0,0,1,-1.38212088731855,-1.38,Not Free
